image,rdx,rdy,gdx,gdy
cathedral.jpg_pyramid,3,12,2,5
monastery.jpg_pyramid,2,3,2,-3
tobolsk.jpg_pyramid,3,7,3,3
library.jpg_pyramid,-3,6,0,3
railway.jpg_pyramid,1,7,1,2
schooner.jpg_pyramid,3,11,2,3
church.tif_pyramid,-4,58,4,25
emir.tif_pyramid,40,107,23,49
harvesters.tif_pyramid,13,124,17,60
icon.tif_pyramid,23,90,16,40
ilemselga.tif_pyramid,11,131,7,40
melons.tif_pyramid,11,176,7,79
religous_painting.tif_pyramid,6,70,7,30
self_portrait.tif_pyramid,37,176,30,79
siren.tif_pyramid,-24,96,-8,48
three_generations.tif_pyramid,8,110,9,53
wharf.tif_pyramid,-17,83,-8,15
cathedral.jpg_simple,3,12,2,5
monastery.jpg_simple,2,3,2,-3
tobolsk.jpg_simple,3,7,3,3
